incident_id,year,country,total_killed,total_wounded,total_kidnapped,total_affected,means_of_attack,latitude,longitude,means_of_attack_condensed,risk,risk_allyears
225,2003,Iraq,1,0,0,1,Shooting,33.3024248,44.3787992,Shooting,3,336
228,2003,South Africa,0,1,0,1,Shooting,-25.74486,28.18783,Shooting,2,10
230,2003,South Sudan,1,0,0,1,Shelling,7.2653861,30.05489,Explosives,3,1233
232,2003,Somalia,0,1,0,1,Shooting,8.3676771,49.083416,Shooting,2,1112
233,2003,Uganda,1,0,0,1,Shooting,1.5333554,32.2166578,Shooting,3,142
231,2003,Afghanistan,1,0,0,1,Unknown,34.3707276,68.3288601,Unknown,3,2534
229,2003,DR Congo,2,0,0,2,Unknown,-2.9814344,23.8222636,Unknown,6,583
235,2003,Chechnya,1,0,0,1,Shooting,64.6863136,97.7453061,Shooting,3,77
234,2003,DR Congo,1,0,0,1,Shooting,-2.9814344,23.8222636,Shooting,3,583
237,2003,Iraq,1,1,0,2,Unknown,33.0955793,44.1749775,Unknown,5,336
238,2003,Burundi,0,0,1,1,Kidnapping,-4.1347916,29.8046322,Kidnapping,1,99
239,2003,Burundi,0,0,2,2,Kidnapping,-4.1347916,29.8046322,Kidnapping,2,99
240,2003,Liberia,1,0,0,1,Shelling,5.7499721,-9.3658524,Explosives,3,27
242,2003,Senegal,0,2,0,2,Bodily assault,14.6930042,-17.447026,Bodily assault,4,19
243,2003,Chechnya,1,0,0,1,Shooting,64.6863136,97.7453061,Shooting,3,77
236,2003,Iraq,1,1,0,2,Unknown,33.0955793,44.1749775,Unknown,5,336
241,2003,Afghanistan,1,0,0,1,Unknown,32.607111,62.671011,Unknown,3,2534
246,2003,Chechnya,1,0,0,1,Kidnap-killing,43.3976147,45.6985005,Kidnapping,3,77
248,2003,Afghanistan,0,2,0,2,Unknown,33.93911,67.709953,Unknown,4,2534
250,2003,Afghanistan,1,0,0,1,Unknown,31.341322,63.993456,Unknown,3,2534
251,2003,DR Congo,1,0,0,1,Unknown,-3.2850762,28.18012996,Unknown,3,583
249,2003,Eritrea,2,1,0,3,Shooting,15.9500319,37.9999668,Shooting,8,12
247,2003,Afghanistan,2,4,0,6,Unknown,33.5448968,68.4132108,Unknown,14,2534
244,2003,Iraq,20,0,0,20,Vehicle-born IED,33.3024248,44.3787992,Explosives,60,336
245,2003,Iraq,0,1,0,1,Shooting,36.22675,44.76106,Shooting,2,336
252,2003,Iraq,1,0,0,1,Body-borne IED,33.0955793,44.1749775,Explosives,3,336
255,2003,Iraq,1,1,0,2,Unknown,36.3466059,43.127008,Unknown,5,336
256,2003,Afghanistan,2,0,0,2,Shooting,31.341322,63.993456,Shooting,6,2534
257,2003,Somalia,1,0,0,1,Shooting,8.3676771,49.083416,Shooting,3,1112
258,2003,Afghanistan,0,1,0,1,Bodily assault,33.93911,67.709953,Bodily assault,2,2534
254,2003,Afghanistan,4,1,0,5,Unknown,33.5448968,68.4132108,Unknown,14,2534
253,2003,Iraq,1,0,0,1,Unknown,36.335,43.11889,Unknown,3,336
260,2003,Somalia,2,0,0,2,Shooting,8.3676771,49.083416,Shooting,6,1112
261,2003,Somalia,1,0,0,1,Shooting,8.3676771,49.083416,Shooting,3,1112
263,2003,Liberia,0,1,0,1,Bodily assault,5.7499721,-9.3658524,Bodily assault,2,27
264,2003,Sudan,8,2,0,10,Landmine ,12.0,30.75,Explosives,28,981
259,2003,Iraq,2,0,0,2,Vehicle-born IED,33.3024248,44.3787992,Explosives,6,336
262,2003,Iraq,0,1,0,1,Other Explosives,33.0955793,44.1749775,Explosives,2,336
265,2003,Afghanistan,1,1,0,2,Shooting,33.5448968,68.4132108,Shooting,5,2534
269,2003,Iraq,0,10,0,10,Other Explosives,30.9986864,45.9982036,Explosives,20,336
267,2003,Iraq,0,1,0,1,Landmine ,33.3024248,44.3787992,Explosives,2,336
266,2003,Burundi,1,0,0,1,Shooting,-3.3634357,29.8870575,Shooting,3,99
268,2003,Iraq,0,1,0,1,Shooting,30.1125,47.71773,Shooting,2,336
270,2003,Philippines,0,1,0,1,Shooting,12.7503486,122.7312101,Shooting,2,47
273,2003,Iraq,0,1,0,1,Shooting,33.0955793,44.1749775,Shooting,2,336
271,2003,Angola,6,1,0,7,Landmine ,-11.8775768,17.5691241,Explosives,20,143
272,2003,Somalia,1,0,1,2,Kidnapping,0.44701,42.69699,Kidnapping,4,1112
341,2004,DR Congo,0,1,0,1,Shooting,-1.6665893,29.2256875,Shooting,2,583
276,2004,Somalia,0,0,1,1,Kidnapping,-0.358056,42.545278,Kidnapping,1,1112
277,2004,Iraq,0,2,0,2,Roadside IED,30.4952367,47.8090981,Explosives,4,336
278,2004,Kenya,0,2,0,2,Unknown,1.4419683,38.4313975,Unknown,4,159
281,2004,Colombia,2,0,0,2,Shooting,2.8930783,-73.7845072,Shooting,6,31
282,2004,Iraq,0,1,0,1,Shooting,33.3024248,44.3787992,Shooting,2,336
283,2004,Iraq,0,1,0,1,Shooting,30.1125,47.71773,Shooting,2,336
279,2004,Afghanistan,4,0,0,4,Unknown,32.607111,62.671011,Unknown,12,2534
280,2004,Afghanistan,5,0,0,5,Unknown,34.5197058,69.1624302,Unknown,15,2534
286,2004,Iraq,1,0,0,1,Other Explosives,32.597902,44.016482,Explosives,3,336
284,2004,Afghanistan,1,0,0,1,Shooting,33.93911,67.709953,Shooting,3,2534
288,2004,Somalia,2,1,0,3,Shooting,9.560335,44.069722,Shooting,8,1112
290,2004,Afghanistan,2,0,0,2,Shooting,33.93911,67.709953,Shooting,6,2534
294,2004,Somalia,0,1,0,1,Unknown,2.25,41.16667,Unknown,2,1112
295,2004,Somalia,0,0,1,1,Kidnapping,0.07222,42.75056,Kidnapping,1,1112
291,2004,Iraq,0,0,2,2,Kidnapping,33.0955793,44.1749775,Kidnapping,2,336
292,2004,Iraq,0,0,2,2,Kidnapping,33.42056,43.30778,Kidnapping,2,336
289,2004,Iraq,1,0,0,1,Unknown,36.3466059,43.127008,Unknown,3,336
293,2004,Iraq,0,0,1,1,Kidnapping,33.35581,43.78612,Kidnapping,1,336
298,2004,DR Congo,0,2,0,2,Rape/sexual assault ,-2.9814344,23.8222636,Explosives,4,583
299,2004,Iraq,0,1,0,1,Shooting,31.05799,46.25726,Shooting,2,336
296,2004,Afghanistan,1,0,0,1,Unknown,36.7581256,66.8980826,Unknown,3,2534
297,2004,Afghanistan,2,1,0,3,Landmine ,36.0,67.666667,Explosives,8,2534
300,2004,Somalia,0,0,1,1,Kidnapping,3.116667,43.65,Kidnapping,1,1112
303,2004,Afghanistan,0,1,0,1,Other Explosives,33.93911,67.709953,Explosives,2,2534
306,2004,Nigeria,0,3,0,3,Kidnapping,9.6000359,7.9999721,Kidnapping,6,315
309,2004,Chechnya,1,0,0,1,Kidnapping,42.9920711,44.2636348,Kidnapping,3,77
302,2004,Afghanistan,5,0,0,5,Unknown,35.0,63.75,Unknown,15,2534
308,2004,Pakistan,0,2,0,2,Shooting,29.30349,70.89848,Shooting,4,542
305,2004,DR Congo,0,1,0,1,Bodily assault,-4.4269024,26.6661699,Bodily assault,2,583
307,2004,Uganda,2,0,0,2,Unknown,2.75,32.9,Unknown,6,142
301,2004,Chechnya,1,0,0,1,Shooting,43.25,45.83333,Shooting,3,77
